PEGUNUNGAN ARFAK;Minyambaouw;Minyambouw;AMAN
SORONG SELATAN;Matemani;Bedare;AMAN
SORONG SELATAN;INANWATAN;Megogoro;AMAN
SORONG SELATAN;Matemani;Mugim;AMAN
SORONG SELATAN;INANWATAN;Nebes;AMAN
SORONG SELATAN;Matemani;Nusa;AMAN
SORONG SELATAN;Matemani;Puragi;AMAN
SORONG SELATAN;Matemani;Saga;AMAN
SORONG SELATAN;INANWATAN;Sitaraf;AMAN
SORONG SELATAN;INANWATAN;Sumbe;AMAN
SORONG SELATAN;Matemani;Tawanggire;AMAN
SORONG SELATAN;KAIS DARAT;Mogatemin;AMAN
SORONG SELATAN;Kokoda;Benawa Dua;AMAN
SORONG SELATAN;Kokoda;Harbasina;AMAN
SORONG SELATAN;Kokoda;Hatori;AMAN
SORONG SELATAN;Kokoda;Toperago;AMAN
SORONG SELATAN;Fokour;Bemus;AMAN
SORONG SELATAN;Sawiat;Faleyo;AMAN
SORONG SELATAN;Salkma;Klamit;AMAN
SORONG SELATAN;Salkma;Kofalit;AMAN
SORONG SELATAN;Salkma;Mlabolo;AMAN
SORONG SELATAN;Fokour;Pasir Putih;AMAN
SORONG SELATAN;Sawiat;Sodrofoyo;AMAN
SORONG SELATAN;Fokour;Wandum;AMAN
SORONG SELATAN;Fokour;Welek;AMAN
SORONG SELATAN;Fokour;Wenslolo;AMAN
SORONG SELATAN;Seremuk;Kanaya;AMAN
SORONG SELATAN;Seremuk;Kayabo;AMAN
SORONG SELATAN;Seremuk;Klaogin;AMAN
SORONG SELATAN;Saifi;Komanggaret;AMAN
SORONG SELATAN;Saifi;Kwowok;AMAN
SORONG SELATAN;Saifi;Manggroholo;AMAN
SORONG SELATAN;Saifi;Mlaswat;AMAN
SORONG SELATAN;Seremuk;Seremuk;AMAN
SORONG SELATAN;Saifi;Sira;AMAN
SORONG SELATAN;Saifi;Sisir;AMAN
SORONG SELATAN;Konda;Bariat;AMAN
SORONG SELATAN;Konda;Konda;AMAN
SORONG SELATAN;Konda;Manelek;AMAN
SORONG SELATAN;Konda;Nagna;AMAN
SORONG SELATAN;Teminabuan;Seyolo;AMAN
SORONG SELATAN;Teminabuan;Seyeto;AMAN
SORONG SELATAN;Teminabuan;Teger;AMAN
SORONG SELATAN;Konda;Wamargege;AMAN
SORONG SELATAN;Wayer;Bagaraga;AMAN
SORONG SELATAN;Wayer;Boldon;AMAN
SORONG SELATAN;Wayer;Unggi;AMAN
MAYBRAT;Ayamaru;Ayamaru;AMAN
KABUPATEN SORONG;Aimas;Aimas;SIAGA
KABUPATEN SORONG;Aimas;Klabinain;AMAN
KABUPATEN SORONG;Aimas;Klafma;SIAGA
KABUPATEN SORONG;Aimas;Klaigit;AMAN
KABUPATEN SORONG;Aimas;Malagusa;AMAN
KABUPATEN SORONG;Aimas;Malasom;AMAN
KABUPATEN SORONG;Aimas;Malawele;SIAGA
KABUPATEN SORONG;Aimas;Malawili;AMAN
KABUPATEN SORONG;Aimas;Mariat Gunun;AMAN
KABUPATEN SORONG;Aimas;Mariat Pantai;AMAN
KABUPATEN SORONG;Aimas;Warmon;AMAN
KABUPATEN SORONG;Aimas;Aimo;AMAN
KABUPATEN SORONG;Aimas;Maibo;AMAN
KABUPATEN SORONG;Aimas;Malasaum;AMAN
KABUPATEN SORONG;Makbon;makbon;AMAN
KABUPATEN SORONG;Salawati;Katinim;AMAN
KABUPATEN SORONG;Salawati;Malaus;AMAN
RAJA AMPAT;Warwarbomi;Warmanai;AMAN
TELUK BINTUNI;Aroba;Sido makmur;AMAN
TELUK BINTUNI;Bintuni;lama;WASPADA
TELUK BINTUNI;Fafurwar;Meryedi;AMAN
TELUK BINTUNI;Tomu;Sebyar Rejosasi;AMAN
TELUK BINTUNI;Tomu;Taroy;AMAN
FAK FAK;FAK-FAK;FAK FAK Selatan;SIAGA
FAK FAK;FAK-FAK;FAK FAK Utara;WASPADA
FAK FAK;FAK-FAK;Gewerpe;AMAN
FAK FAK;FAK-FAK;Lusi Peri;AMAN
FAK FAK;FAK-FAK;Wrikapal;AMAN
FAK FAK;FAK-FAK Barat;Kiat;AMAN
FAK FAK;FAK-FAK Barat;Kwuhkendak;AMAN
FAK FAK;FAK-FAK Barat;Pahger Nkindik;AMAN
FAK FAK;FAK-FAK Barat;Porum;AMAN
FAK FAK;FAK-FAK Barat;Purwahab Tonggo;AMAN
FAK FAK;FAK-FAK Barat;Purwasak;AMAN
FAK FAK;FAK-FAK Barat;Werba;AMAN
FAK FAK;FAK-FAK Barat;Werba Utara;AMAN
FAK FAK;FAK-FAK Barat;Wurkendik;AMAN
FAK FAK;FAK-FAK Tengah;Danaweria;AMAN
FAK FAK;FAK-FAK Tengah;Air Besar;AMAN
FAK FAK;FAK-FAK Tengah;Brongkendik;AMAN
FAK FAK;FAK-FAK Tengah;Hambrangkendik;AMAN
FAK FAK;FAK-FAK Tengah;Kanantare;AMAN
FAK FAK;FAK-FAK Tengah;Katemba;AMAN
FAK FAK;FAK-FAK Tengah;Kayu Merah;AMAN
FAK FAK;FAK-FAK Tengah;Mandopma;AMAN
FAK FAK;FAK-FAK Tengah;Nemewikarya;AMAN
FAK FAK;FAK-FAK Tengah;Pasir Putih;AMAN
FAK FAK;FAK-FAK Tengah;Pirma;AMAN
FAK FAK;FAK-FAK Tengah;Raduria;AMAN
FAK FAK;FAK-FAK Tengah;Sakartemin;AMAN
FAK FAK;FAK-FAK Tengah;Unipokpok;AMAN
FAK FAK;FAK-FAK Timur;Kiria Bisa;AMAN
FAK FAK;FAK-FAK Timur;Saharei;AMAN
FAK FAK;FAK-FAK Timur;Sanggram;AMAN
FAK FAK;FAK-FAK Timur;Tunas Gain;AMAN
FAK FAK;FAK-FAK Timur;Urat;AMAN
FAK FAK;FAK-FAK Timur;Weri;AMAN
TELUK WONDAMA;Wasior;Yomakan;AMAN
